age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
25,Private,226802,1,7,Never-married,6,Own-child,Black,Male,0,0,40,38,<=50K
38,Private,89814,11,9,Married-civ-spouse,4,Husband,White,Male,0,0,50,38,<=50K
28,Local-gov,336951,7,12,Married-civ-spouse,10,Husband,White,Male,0,0,40,38,>50K
44,Private,160323,15,10,Married-civ-spouse,6,Husband,Black,Male,7688,0,40,38,>50K
18,Unknown,103497,15,10,Never-married,14,Own-child,White,Female,0,0,30,38,<=50K
34,Private,198693,0,6,Never-married,7,Not-in-family,White,Male,0,0,30,38,<=50K
29,Unknown,227026,11,9,Never-married,14,Unmarried,Black,Male,0,0,40,38,<=50K
63,Self-emp-not-inc,104626,14,15,Married-civ-spouse,9,Husband,White,Male,3103,0,32,38,>50K
24,Private,369667,15,10,Never-married,7,Unmarried,White,Female,0,0,40,38,<=50K
55,Private,104996,5,4,Married-civ-spouse,2,Husband,White,Male,0,0,10,38,<=50K
65,Private,184454,11,9,Married-civ-spouse,6,Husband,White,Male,6418,0,40,38,>50K
36,Federal-gov,212465,9,13,Married-civ-spouse,0,Husband,White,Male,0,0,40,38,<=50K
26,Private,82091,11,9,Never-married,0,Not-in-family,White,Female,0,0,39,38,<=50K
58,Unknown,299831,11,9,Married-civ-spouse,14,Husband,White,Male,0,0,35,38,<=50K
48,Private,279724,11,9,Married-civ-spouse,6,Husband,White,Male,3103,0,48,38,>50K
43,Private,346189,12,14,Married-civ-spouse,3,Husband,White,Male,0,0,50,38,>50K
20,State-gov,444554,15,10,Never-married,7,Own-child,White,Male,0,0,25,38,<=50K
43,Private,128354,11,9,Married-civ-spouse,0,Wife,White,Female,0,0,30,38,<=50K
37,Private,60548,11,9,Widowed,6,Unmarried,White,Female,0,0,20,38,<=50K
40,Private,85019,10,16,Married-civ-spouse,9,Husband,Asian-Pac-Islander,Male,0,0,45,39,>50K
34,Private,107914,9,13,Married-civ-spouse,12,Husband,White,Male,0,0,47,38,>50K
34,Private,238588,15,10,Never-married,7,Own-child,Black,Female,0,0,35,38,<=50K
72,Unknown,132015,5,4,Divorced,14,Not-in-family,White,Female,0,0,6,38,<=50K
25,Private,220931,9,13,Never-married,9,Not-in-family,White,Male,0,0,43,28,<=50K
25,Private,205947,9,13,Married-civ-spouse,9,Husband,White,Male,0,0,40,38,<=50K
45,Self-emp-not-inc,432824,11,9,Married-civ-spouse,2,Husband,White,Male,7298,0,90,38,>50K
22,Private,236427,11,9,Never-married,0,Own-child,White,Male,0,0,20,38,<=50K
23,Private,134446,11,9,Separated,6,Unmarried,Black,Male,0,0,54,38,<=50K
54,Private,99516,11,9,Married-civ-spouse,2,Husband,White,Male,0,0,35,38,<=50K
32,Self-emp-not-inc,109282,15,10,Never-married,9,Not-in-family,White,Male,0,0,60,38,<=50K
46,State-gov,106444,15,10,Married-civ-spouse,3,Husband,Black,Male,7688,0,38,38,>50K
56,Self-emp-not-inc,186651,1,7,Widowed,7,Unmarried,White,Female,0,0,50,38,<=50K
24,Self-emp-not-inc,188274,9,13,Never-married,11,Not-in-family,White,Male,0,0,50,38,<=50K
23,Local-gov,258120,15,10,Married-civ-spouse,10,Husband,White,Male,0,0,40,38,<=50K
26,Private,43311,11,9,Divorced,3,Unmarried,White,Female,0,0,40,38,<=50K
65,Unknown,191846,11,9,Married-civ-spouse,14,Husband,White,Male,0,0,40,38,<=50K
36,Local-gov,403681,9,13,Married-civ-spouse,9,Husband,White,Male,0,0,40,38,>50K
22,Private,248446,4,3,Never-married,8,Not-in-family,White,Male,0,0,50,12,<=50K
17,Private,269430,0,6,Never-married,6,Not-in-family,White,Male,0,0,40,38,<=50K
20,Private,257509,11,9,Never-married,2,Own-child,White,Male,0,0,40,38,<=50K
65,Private,136384,12,14,Married-civ-spouse,9,Husband,White,Male,0,0,50,38,>50K
44,Self-emp-inc,120277,8,11,Married-civ-spouse,11,Husband,White,Male,0,0,45,38,>50K
36,Private,465326,11,9,Married-civ-spouse,4,Husband,White,Male,0,0,40,38,<=50K
29,Private,103634,1,7,Married-civ-spouse,7,Husband,White,Male,0,0,40,38,<=50K
20,State-gov,138371,15,10,Never-married,4,Own-child,White,Male,0,0,32,38,<=50K
28,Private,242832,8,11,Married-civ-spouse,9,Wife,White,Female,0,0,36,38,>50K
39,Private,290208,5,4,Married-civ-spouse,2,Husband,White,Male,0,0,40,25,<=50K
54,Private,186272,15,10,Married-civ-spouse,13,Husband,White,Male,3908,0,50,38,<=50K
52,Private,201062,1,7,Separated,8,Not-in-family,Black,Female,0,0,18,38,<=50K
56,Self-emp-inc,131916,11,9,Widowed,3,Not-in-family,White,Female,0,0,50,38,<=50K
18,Private,54440,15,10,Never-married,7,Own-child,White,Male,0,0,20,38,<=50K
39,Private,280215,11,9,Divorced,5,Own-child,Black,Male,0,0,40,38,<=50K
21,Private,214399,15,10,Never-married,7,Own-child,White,Female,0,1721,24,38,<=50K
22,Private,54164,11,9,Never-married,7,Not-in-family,White,Male,14084,0,60,38,>50K
38,Private,219446,6,5,Married-spouse-absent,3,Not-in-family,White,Male,0,0,54,25,<=50K
21,Private,110677,15,10,Never-married,0,Own-child,White,Female,0,0,40,38,<=50K
63,Private,145985,11,9,Married-civ-spouse,2,Husband,White,Male,0,0,40,38,<=50K
34,Local-gov,382078,9,13,Married-civ-spouse,3,Husband,White,Male,3103,0,50,38,>50K
42,Self-emp-inc,170721,11,9,Married-civ-spouse,3,Husband,White,Male,5178,0,50,38,>50K
33,Private,269705,11,9,Married-civ-spouse,5,Husband,White,Male,0,0,40,38,<=50K
30,Private,101135,9,13,Never-married,3,Not-in-family,White,Female,0,0,50,38,<=50K
39,Private,118429,15,10,Divorced,11,Not-in-family,White,Male,0,0,40,38,<=50K
26,Private,31208,12,14,Never-married,3,Not-in-family,White,Female,0,0,40,38,<=50K
33,Private,281384,11,9,Never-married,6,Own-child,White,Female,0,0,40,38,<=50K
47,Local-gov,171807,11,9,Divorced,0,Not-in-family,White,Female,0,0,40,38,<=50K
41,Private,109912,9,13,Never-married,7,Not-in-family,White,Female,0,0,40,39,<=50K
41,Self-emp-inc,445382,7,12,Married-civ-spouse,2,Husband,White,Male,15024,0,60,38,>50K
19,Private,105460,15,10,Never-married,7,Own-child,White,Male,0,0,20,38,<=50K
46,Private,170338,11,9,Separated,13,Not-in-family,White,Male,0,0,40,38,<=50K
43,Private,102606,11,9,Married-civ-spouse,11,Husband,White,Male,0,0,48,38,<=50K
55,Private,323887,15,10,Married-civ-spouse,3,Husband,White,Male,15024,0,45,38,>50K
46,Private,175622,8,11,Married-civ-spouse,12,Husband,White,Male,0,0,40,38,<=50K
30,Private,229636,11,9,Married-civ-spouse,6,Husband,White,Male,0,0,40,25,<=50K
21,Private,388946,15,10,Separated,5,Not-in-family,White,Female,0,0,40,38,<=50K
46,Private,269034,15,10,Married-civ-spouse,2,Husband,Other,Male,0,0,40,5,<=50K
17,Unknown,165361,0,6,Never-married,14,Own-child,White,Male,0,0,40,38,<=50K
41,Private,75012,11,9,Married-civ-spouse,6,Husband,White,Male,0,0,50,38,<=50K
69,Self-emp-inc,174379,11,9,Married-civ-spouse,11,Husband,White,Male,0,0,30,38,<=50K
50,Private,312477,11,9,Married-civ-spouse,13,Husband,White,Male,0,0,40,38,<=50K
20,Private,72055,15,10,Never-married,0,Not-in-family,White,Female,0,0,40,38,<=50K
45,Self-emp-inc,67001,15,10,Married-civ-spouse,6,Husband,White,Male,0,0,50,38,<=50K
23,Private,213734,9,13,Never-married,3,Not-in-family,White,Male,0,0,40,38,<=50K
24,Private,83141,15,10,Separated,7,Not-in-family,White,Male,0,1876,40,38,<=50K
44,Self-emp-inc,223881,11,9,Married-civ-spouse,2,Husband,White,Male,99999,0,50,39,>50K
31,Self-emp-not-inc,113752,15,10,Married-civ-spouse,2,Husband,White,Male,0,0,50,38,<=50K
43,Private,170482,11,9,Separated,6,Not-in-family,White,Female,0,0,44,38,<=50K
20,Federal-gov,244689,1,7,Never-married,7,Own-child,White,Female,0,0,10,38,<=50K
55,Private,160631,11,9,Married-civ-spouse,11,Husband,White,Male,0,0,56,38,>50K
24,Federal-gov,228724,15,10,Never-married,1,Not-in-family,White,Male,0,0,40,38,<=50K
41,Unknown,38434,12,14,Married-civ-spouse,14,Wife,White,Female,7688,0,10,38,>50K
59,Private,292946,9,13,Never-married,3,Not-in-family,White,Female,0,0,25,38,<=50K
49,Federal-gov,77443,5,4,Never-married,7,Not-in-family,Black,Male,0,0,20,38,<=50K
33,Private,176410,12,14,Married-civ-spouse,9,Wife,White,Female,5178,0,10,38,>50K
59,Federal-gov,98984,9,13,Divorced,0,Not-in-family,White,Male,0,0,40,38,<=50K
34,Private,198751,12,14,Never-married,7,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,38,<=50K
20,Private,479296,11,9,Never-married,5,Own-child,White,Male,0,0,40,38,<=50K
25,Private,235218,9,13,Never-married,3,Own-child,White,Female,0,0,40,38,<=50K
49,Private,164877,0,6,Married-civ-spouse,4,Husband,White,Male,0,0,40,38,<=50K
59,Private,272087,11,9,Married-civ-spouse,13,Husband,White,Male,0,0,40,38,>50K
20,Private,169699,11,9,Never-married,0,Not-in-family,White,Female,0,0,40,38,<=50K
51,Unknown,189762,15,10,Married-civ-spouse,14,Wife,White,Female,0,0,18,38,<=50K
33,Private,202191,15,10,Never-married,0,Unmarried,Black,Female,0,0,35,38,<=50K
22,Private,212261,15,10,Never-married,13,Own-child,Black,Male,0,0,39,38,<=50K
58,Self-emp-not-inc,301568,6,5,Widowed,7,Not-in-family,White,Female,0,0,40,38,<=50K
52,Local-gov,155233,11,9,Widowed,0,Unmarried,White,Female,0,0,28,38,<=50K
36,Private,75826,0,6,Separated,6,Not-in-family,White,Female,0,0,40,38,<=50K
41,Local-gov,201520,11,9,Married-civ-spouse,10,Husband,White,Male,0,0,40,38,<=50K
28,Private,154236,11,9,Never-married,13,Own-child,White,Male,2597,0,40,38,<=50K
19,Private,289227,15,10,Never-married,5,Own-child,Black,Male,0,0,16,38,<=50K
18,Private,217439,11,9,Never-married,7,Not-in-family,White,Female,0,0,28,38,<=50K
18,Private,179020,11,9,Never-married,6,Own-child,White,Female,0,0,48,38,<=50K
28,Private,149624,15,10,Married-civ-spouse,2,Husband,White,Male,0,0,40,38,<=50K
29,Private,337266,8,11,Married-civ-spouse,3,Husband,White,Male,0,0,40,38,>50K
20,Unknown,30796,11,9,Never-married,14,Own-child,White,Female,0,0,20,38,<=50K
40,Private,103541,15,10,Married-civ-spouse,5,Husband,White,Male,0,0,40,38,<=50K
26,Private,206721,11,9,Never-married,5,Unmarried,White,Male,0,0,40,38,<=50K
46,Private,96773,11,9,Married-civ-spouse,2,Husband,White,Male,0,0,40,38,<=50K
23,Private,200967,1,7,Never-married,7,Not-in-family,White,Female,0,0,24,38,<=50K
44,Private,180019,11,9,Married-spouse-absent,0,Unmarried,White,Female,0,0,40,38,<=50K
43,Private,179866,9,13,Divorced,11,Unmarried,White,Female,0,0,40,38,>50K
31,Local-gov,198770,9,13,Divorced,9,Unmarried,White,Female,0,0,60,38,<=50K
18,Private,219256,15,10,Never-married,11,Own-child,White,Female,0,0,25,38,<=50K
19,Private,248730,15,10,Never-married,10,Own-child,White,Male,0,0,30,38,<=50K
41,Private,110732,15,10,Divorced,12,Not-in-family,White,Female,0,0,40,38,<=50K
41,Private,181020,11,9,Divorced,5,Unmarried,White,Female,0,0,40,38,<=50K
69,Private,183791,11,9,Divorced,0,Not-in-family,White,Female,0,0,25,38,<=50K
48,Federal-gov,42972,10,16,Married-civ-spouse,9,Wife,White,Female,0,0,40,38,>50K
